Symbol,Sector,,,,,
BANKBEES,Equity,,,,,
CANFINHOME,Home Financing,,,,,
BIRLACORPN,Cement,,,,,
MEDPLUS,Online Services,,,,,
VESUVIUS,Industrial Machinery,,,,,
VIJAYA,Hospitals & Diagnostic Centres,,,,,
SHRIPISTON,Auto Parts,,,,,
EDELWEISS,Diversified Financials,,,,,
BELRISE,Auto Parts,,,,,
KPIGREEN,Renewable Energy,,,,,
ALOKINDS,Textiles,,,,,
AETHER,Specialty Chemicals,,,,,
HEG,Electrical Components & Equipments,,,,,
INDIASHLTR,Home Financing,,,,,
POWERMECH,Construction & Engineering,,,,,
MMTC,Commodities Trading,,,,,
WAAREERTL,Renewable Energy,,,,,
TIMETECHNO,Plastic Products,,,,,
SAMMAANCAP,Home Financing,,,,,
SCI,Logistics,,,,,
IIFLCAPS,Diversified Financials,,,,,
TRANSRAILL,Power Infrastructure,,,,,
JKTYRE,Tires & Rubber,,,,,
AZAD,Renewable Energy Equipment & Services,,,,,
OLECTRA,Electrical Components & Equipments,,,,,
KAMAHOLD,Conglomerates,,,,,
AVANTIFEED,Packaged Foods & Meats,,,,,
MAPMYINDIA,Software Services,,,,,
RHIM,Cement,,,,,
SUDARSCHEM,Diversified Chemicals,,,,,
JLHL,Hospitals & Diagnostic Centres,,,,,
METROPOLIS,Hospitals & Diagnostic Centres,,,,,
BIRET,Real Estate,,,,,
VOLTAMP,Heavy Electrical Equipments,,,,,
PGHL,Pharmaceuticals,,,,,
PVRINOX,Theatres,,,,,
INDIGRID,Power Transmission & Distribution,,,,,
UJJIVANSFB,Private Banks,,,,,
BANCOINDIA,Auto Parts,,,,,
MAHSEAMLES,Building Products - Pipes,,,,,
KIRLFER,Iron & Steel,,,,,
TCI,Logistics,,,,,
ASTRAMICRO,Communication & Networking,,,,,
CARTRADE,Online Services,,,,,
HONASA,FMCG - Personal Products,,,,,
ACUTAAS,Biotechnology,,,,,
HAPPSTMNDS,IT Services & Consulting,,,,,
PRIVISCL,Specialty Chemicals,,,,,
ABFRL,Retail - Apparel,,,,,
SAREGAMA,Movies & TV Serials,,,,,
GARFIBRES,Textiles,,,,,
BENGALASM,Diversified Financials,,,,,
MANORAMA,Packaged Foods & Meats,,,,,
AURIONPRO,IT Services & Consulting,,,,,
GALAXYSURF,Specialty Chemicals,,,,,
WABAG,Water Management,,,,,
PRAJIND,Construction & Engineering,,,,,
KIRLPNU,Industrial Machinery,,,,,
BECTORFOOD,FMCG - Foods,,,,,
ARVIND,Apparel & Accessories,,,,,
SHILPAMED,Pharmaceuticals,,,,,
LATENTVIEW,IT Services & Consulting,,,,,
BBOX,Software Services,,,,,
CAMPUS,Apparel & Accessories,,,,,
RELIGARE,Investment Banking & Brokerage,,,,,
HAPPYFORGE,Heavy Machinery,,,,,
DIACABS,Electrical Components & Equipments,,,,,
ISGEC,Heavy Machinery,,,,,
KRBL,Packaged Foods & Meats,,,,,
DODLA,FMCG - Foods,,,,,
NETWORK18,Movies & TV Serials,,,,,
BANKNIFTY1,Equity,,,,,
KALPATARU,Real Estate,,,,,
RTNINDIA,Power Trading & Consultancy,,,,,
TTKPRESTIG,Home Electronics & Appliances,,,,,
CERA,Building Products - Ceramics,,,,,
CMSINFO,Software Services,,,,,
TANLA,Software Services,,,,,
STARCEMENT,Cement,,,,,
RTNPOWER,Power Generation,,,,,
ACI,Commodity Chemicals,,,,,
SANSERA,Auto Parts,,,,,
NESCO,Real Estate,,,,,
AARTIPHARM,Labs & Life Sciences Services,,,,,
AKUMS,Pharmaceuticals,,,,,
VARROC,Auto Parts,,,,,
GRWRHITECH,Commodity Chemicals,,,,,
STAR,Pharmaceuticals,,,,,
SETFNIF50,Equity,,,,,
EBBETF0423,Debt,,,,,
RCF,Fertilizers & Agro Chemicals,,,,,
TIPSMUSIC,Movies & TV Serials,,,,,
RUSTOMJEE,Real Estate,,,,,
MAXESTATES,Real Estate,,,,,
GANESHHOUC,Real Estate,,,,,
GMRP&UI,Power Generation,,,,,
PNGJL,"Precious Metals, Jewellery & Watches",,,,,
ELLEN,Commodity Chemicals,,,,,
GSFC,Fertilizers & Agro Chemicals,,,,,
TRIVENI,Sugar,,,,,
FDC,Pharmaceuticals,,,,,
DBL,Construction & Engineering,,,,,
JUSTDIAL,Online Services,,,,,
ESABINDIA,Industrial Machinery,,,,,
PRSMJOHNSN,Cement,,,,,
SOUTHBANK,Private Banks,,,,,
SYMPHONY,Home Electronics & Appliances,,,,,
GNFC,Fertilizers & Agro Chemicals,,,,,
BLACKBUCK,Logistics,,,,,
LUMAXTECH,Auto Parts,,,,,
PNCINFRA,Construction & Engineering,,,,,
SWSOLAR,Renewable Energy Equipment & Services,,,,,
OSWALPUMPS,Industrial Machinery,,,,,
SANDUMA,Mining - Diversified,,,,,
AJAXENGG,Construction & Engineering,,,,,
MASTEK,IT Services & Consulting,,,,,
RAYMONDLSL,Apparel & Accessories,,,,,
TDPOWERSYS,Heavy Electrical Equipments,,,,,
BAJAJELEC,Home Electronics & Appliances,,,,,
BALUFORGE,Construction & Engineering,,,,,
THOMASCOOK,Tour & Travel Services,,,,,
GPPL,Ports,,,,,
HMT,Industrial Machinery,,,,,
MAHLIFE,Real Estate,,,,,
HCG,Hospitals & Diagnostic Centres,,,,,
EPL,Packaging,,,,,
MIDHANI,Metals - Diversified,,,,,
EPIGRAL,Commodity Chemicals,,,,,
REDTAPE,Retail - Apparel,,,,,
MOIL,Mining - Manganese,,,,,
